# SOSコンタクト一覧
# フォーマット: id,type,name,category,phone,address,lat,lng,notes
# type: business（事業者）/ supporter（支援者）
# name や notes にカンマを含む場合は "..." でくくること

# ── 事業者（施設・窓口）──
hakata_hospital,business,博多総合病院,病院,092-411-1001,福岡市博多区博多駅東1-2-3,33.5910,130.4220,24時間救急対応
hakata_pharmacy,business,博多調剤薬局,薬局,092-411-2001,福岡市博多区博多駅前1-1-1,33.5897,130.4207,
tenjin_welfare,business,天神障害者福祉センター,福祉施設,092-711-3001,福岡市中央区天神2-3-10,33.5906,130.4012,月〜金 8:30〜17:30
hakata_police,business,博多警察署,警察,092-412-0110,福岡市博多区博多駅前4-3-1,33.5880,130.4150,
gofuku_clinic,business,呉服町クリニック,診療所,092-283-4001,福岡市博多区綱場町3-10,33.5935,130.4180,要事前予約
hakata_city_hall,business,博多区役所 障がい者支援課,行政窓口,092-419-1100,福岡市博多区博多駅前2-8-1,33.5893,130.4196,平日 8:45〜17:15

# ── 支援者（ボランティア・個人）──
vol_tanaka,supporter,田中 太郎,移動支援ボランティア,090-1234-5678,博多区在住,33.5890,130.4190,車椅子・白杖利用者の外出サポート経験あり
vol_sato,supporter,佐藤 花子,移動支援ボランティア,090-9876-5432,天神周辺,33.5915,130.4005,手話通訳可
vol_yamamoto,supporter,山本 健司,移動支援ボランティア,080-5555-1234,中洲川端周辺,33.5940,130.4100,電動車椅子・スクーター対応
vol_nakamura,supporter,中村 美咲,移動支援ボランティア,080-3333-9876,博多駅周辺,33.5900,130.4210,ベビーカー・高齢者対応
vol_kato,supporter,加藤 浩一,移動支援ボランティア,090-7777-2222,天神南周辺,33.5888,130.4010,
